date,eligible_count,dow,is_weekend,day_of_month,month,pct_retweet,pct_quote,pct_original,total_tweets_incl_replies,reply_count_today,reply_rate,peak_hour_count,active_hours,posting_concentration,mean_gap_min,median_gap_min,max_gap_min,pct_gaps_under_5min,first_tweet_hour,last_tweet_hour,posting_span_hours,late_night_tweets,late_night_pct,flurry_hours,max_hourly_count,has_flurry,mean_impressions,mean_likes,eligible_count_lag1,reply_rate_lag1,eligible_count_lag2,reply_rate_lag2,eligible_count_lag3,reply_rate_lag3,eligible_count_lag7,reply_rate_lag7,eligible_rolling_3d_mean,eligible_rolling_3d_std,eligible_rolling_7d_mean,eligible_rolling_7d_std,eligible_rolling_14d_mean,eligible_rolling_14d_std,trend_3d_vs_14d,daily_change,daily_change_pct
2025-09-20,21,5,1,20,9,0.4286,0.5714,0.0,51,30,0.5882,6,8,0.2857,60.5,7.72,382.42,0.45,2,22,20,6,0.2857,1,6,1,8447873.0,54411.0,,,,,,,,,,,,,,,,,
2025-09-21,33,6,1,21,9,0.7273,0.1515,0.1212,52,19,0.3654,10,11,0.303,43.06,6.58,583.53,0.4688,0,23,23,11,0.3333,3,10,1,10036961.0,143645.0,21.0,0.5882,,,,,,,,,,,,,,12.0,0.5714
2025-09-22,9,0,0,22,9,0.6667,0.2222,0.1111,30,21,0.7,3,6,0.3333,122.24,37.67,683.12,0.25,0,16,16,7,0.7778,0,3,0,9149916.0,110550.0,33.0,0.3654,21.0,0.5882,,,,,21.0,12.0,,,,,,-24.0,-0.7273
2025-09-23,21,1,0,23,9,0.6667,0.3333,0.0,47,26,0.5532,6,6,0.2857,41.61,2.98,542.62,0.6,3,17,14,5,0.2381,1,6,1,10596261.0,71609.0,9.0,0.7,33.0,0.3654,21.0,0.5882,,,21.0,12.0,,,,,,12.0,1.3333
2025-09-24,4,2,0,24,9,0.75,0.0,0.25,9,5,0.5556,2,3,0.5,351.24,94.72,952.85,0.0,5,22,17,0,0.0,0,2,0,5362536.0,34331.0,21.0,0.5532,9.0,0.7,33.0,0.3654,,,11.33,8.74,,,,,,-17.0,-0.8095
2025-09-25,16,3,0,25,9,0.6875,0.1875,0.125,31,15,0.4839,6,6,0.375,66.02,6.03,401.92,0.4667,4,20,16,1,0.0625,1,6,1,7885619.0,57548.0,4.0,0.5556,21.0,0.5532,9.0,0.7,,,13.67,8.74,,,,,,12.0,3.0
2025-09-26,18,4,0,26,9,0.6667,0.2778,0.0556,29,11,0.3793,9,3,0.5,25.73,3.52,371.45,0.7059,7,14,7,0,0.0,2,9,1,8605423.0,65140.0,16.0,0.4839,4.0,0.5556,21.0,0.5532,,,12.67,7.57,17.43,9.32,,,,2.0,0.125
2025-09-27,18,5,1,27,9,0.5556,0.3333,0.1111,36,18,0.5,6,6,0.3333,69.22,3.72,555.58,0.5882,2,22,20,4,0.2222,1,6,1,10583572.0,69864.0,18.0,0.3793,16.0,0.4839,4.0,0.5556,21.0,0.5882,17.33,1.15,17.0,9.2,,,,0.0,0.0
2025-09-28,33,6,1,28,9,0.6667,0.303,0.0303,62,29,0.4677,16,6,0.4848,31.21,2.08,391.5,0.6875,5,22,17,0,0.0,2,16,1,7602691.0,45516.0,18.0,0.5,18.0,0.3793,16.0,0.4839,33.0,0.3654,23.0,8.66,17.0,9.2,,,,15.0,0.8333
2025-09-29,8,0,0,29,9,0.75,0.25,0.0,16,8,0.5,5,2,0.625,14.95,3.1,67.97,0.5714,4,5,1,5,0.625,1,5,1,4452678.0,32974.0,33.0,0.4677,18.0,0.5,18.0,0.3793,9.0,0.7,19.67,12.58,16.86,9.35,,,,-25.0,-0.7576
